General : Specimen number (included),1,,,
Specimen choice input : Material,<None>,,,
Specimen properties : Geometry,Rectangular,,,
Specimen properties : Length,50,mm,,
Specimen properties : Thickness,3.06,mm,,
Specimen properties : Width,11.6,mm,,
Specimen properties : Area,35.496,mm^2,,
Specimen properties : Final length,50,mm,,
Specimen properties : Final thickness,3,mm,,
Specimen properties : Final width,12,mm,,
Specimen properties : Final area,36,mm^2,,
,,,,
Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
0,0,1.17535,0,0.03311
0.2,0.01663,456.05164,0.00006,12.84797
0.4,0.03351,931.54443,0.00014,26.24365
0.6,0.05005,1336.37659,0.00022,37.64865
0.8,0.06678,1699.34912,0.0003,47.87439
1,0.08338,2034.24377,0.00038,57.3091
1.2,0.10017,2344.19849,0.00047,66.04121
1.4,0.11683,2630.12842,0.00055,74.09647
1.6,0.13343,2892.79028,0.00064,81.49624
1.8,0.15022,3135.66333,0.00074,88.3385
2,0.16679,3357.21045,0.00083,94.57997
2.2,0.18343,3559.94116,0.00094,100.29134
2.4,0.20021,3747.02539,0.00104,105.56191
2.6,0.21675,3914.37964,0.00116,110.27665
2.8,0.23345,4064.54419,0.00127,114.50711
3,0.25014,4201.81641,0.0014,118.37437
3.2,0.26675,4315.96143,0.00152,121.59008
3.4,0.28353,4425.10107,0.00166,124.66479
3.6,0.3001,4519.59424,0.0018,127.32687
3.8,0.3168,4604.18262,0.00194,129.7099
4,0.33361,4679.39893,0.00209,131.82892
4.2,0.3501,4742.1377,0.00224,133.59641
4.4,0.36685,4801.75586,0.0024,135.27597
4.6,0.38351,4853.19482,0.00256,136.72513
4.8,0.40012,4897.93457,0.00272,137.98553
5,0.41684,4941.05273,0.00289,139.20027
5.2,0.43345,4978.22461,0.00305,140.24748
5.4,0.45017,5012.0791,0.00322,141.20125
5.6,0.46683,5043.77881,0.00339,142.0943
5.8,0.48344,5071.4458,0.00356,142.87373
6,0.50019,5100.43994,0.00374,143.69057
6.2,0.51689,5126.49365,0.00391,144.42455
6.4,0.53349,5148.18604,0.00409,145.03568
6.6,0.55018,5172.88037,0.00426,145.73137
6.8,0.56685,5194.7251,0.00444,146.34679
7,0.58348,5216.73047,0.00462,146.96672
7.2,0.60012,5238.46631,0.0048,147.57907
7.4,0.61675,5257.43311,0.00497,148.1134
7.6,0.63357,5280.62109,0.00515,148.76666
7.8,0.65014,5296.77246,0.00533,149.22168
8,0.66677,5315.66455,0.00551,149.75391
8.2,0.68356,5337.20312,0.00569,150.3607
8.4,0.70013,5352.33008,0.00586,150.78687
8.6,0.71686,5372.47266,0.00604,151.35432
8.8,0.73352,5390.88379,0.00622,151.873
9,0.75012,5407.61182,0.0064,152.34427
9.2,0.76682,5426.38037,0.00658,152.87302
9.4,0.78345,5443.1626,0.00676,153.34581
9.6,0.80012,5460.73145,0.00694,153.84076
9.8,0.81693,5479.82031,0.00712,154.37854
10,0.83344,5493.94629,0.0073,154.7765
10.2,0.85017,5512.39307,0.00747,155.29619
10.4,0.86686,5530.23682,0.00765,155.79887
